Order,Poisson,n_inc,N_mod,k_max,alpha,linearisation,full error X,full error Y
2,0.4,1,3,7,1,explicit,2.3623897312992406,12.729994148222492
2,0.4,1,3,7,1,implicit,1.1218757420681045,0.35128333456124283
2,0.4,1,3,7,1,mixed,0.36764816451301835,0.265900698467545
2,0.4,10,3,7,1,explicit,0.022262253958265088,0.18554119813206796
2,0.4,10,3,7,1,implicit,0.00800962422978682,0.2606544178045063
2,0.4,10,3,7,1,mixed,0.011317780583155546,0.15738342977311062
2,0.4,100,3,7,1,explicit,0.0053050793935121325,0.503408145399886
2,0.4,100,3,7,1,implicit,0.005242406202911937,0.03899072287257117
2,0.4,100,3,7,1,mixed,0.005220126601366216,2.1960185048268213
