Order,Poisson,n_inc,N_mod,k_max,alpha,linearisation,full error X,full error Y
1,0.4,1,3,7,1,explicit,0.5864178218917298,0.06610137860536294
1,0.4,1,3,7,1,implicit,0.5864178218917298,0.06610137860536294
1,0.4,1,3,7,1,mixed,0.5864178218917298,0.06610137860536294
1,0.4,10,3,7,1,explicit,0.007560606602822161,0.019902756848686105
1,0.4,10,3,7,1,implicit,0.007560606602822161,0.019902756848686105
1,0.4,10,3,7,1,mixed,0.007560606602822161,0.019902756848686105
1,0.4,100,3,7,1,explicit,0.0052786803030434514,0.031195088902116853
1,0.4,100,3,7,1,implicit,0.0052786803030434514,0.031195088902116853
1,0.4,100,3,7,1,mixed,0.0052786803030434514,0.031195088902116853
