Order,Poisson,n_inc,N_mod,k_max,alpha,linearisation,full error X,full error Y
3,0.4,1,3,7,1,explicit,0.22144648305270576,0.041295514363355615
3,0.4,1,3,7,1,implicit,0.20929193410373326,0.4627904265908762
3,0.4,1,3,7,1,mixed,0.05883047263338569,0.11595091156005125
3,0.4,10,3,7,1,explicit,0.009171811946970138,0.09124279751655189
3,0.4,10,3,7,1,implicit,0.008107261135932575,0.12304030985800975
3,0.4,10,3,7,1,mixed,0.008137974550796666,0.17579809734115454
3,0.4,100,3,7,1,explicit,0.00528406997332189,0.5064440277321738
3,0.4,100,3,7,1,implicit,0.005190939564711565,0.03276523548393421
3,0.4,100,3,7,1,mixed,0.005387341428663948,0.7616952111325541
