Order,Poisson,n_inc,N_mod,k_max,alpha,linearisation,full error X,full error Y
1,0.4,10,3,7,1,explicit,0.007560606602822161,0.019902756848686105
1,0.4,10,3,7,1,implicit,0.007560606602822161,0.019902756848686105
1,0.4,10,3,7,1,mixed,0.007560606602822161,0.019902756848686105
2,0.4,10,3,7,1,explicit,0.022262253958265088,0.18554119813206796
2,0.4,10,3,7,1,implicit,0.00800962422978682,0.2606544178045063
2,0.4,10,3,7,1,mixed,0.011317780583155546,0.15738342977311062
3,0.4,10,3,7,1,explicit,0.009171811946970138,0.09124279751655189
3,0.4,10,3,7,1,implicit,0.008107261135932575,0.12304030985800975
3,0.4,10,3,7,1,mixed,0.008137974550796666,0.17579809734115454
