Order,Poisson,n_inc,N_mod,k_max,alpha,linearisation,full error X,full error Y
1,0.4,100,3,7,1,explicit,0.0052786803030434514,0.031195088902116853
1,0.4,100,3,7,1,implicit,0.0052786803030434514,0.031195088902116853
1,0.4,100,3,7,1,mixed,0.0052786803030434514,0.031195088902116853
2,0.4,100,3,7,1,explicit,0.0053050793935121325,0.503408145399886
2,0.4,100,3,7,1,implicit,0.005242406202911937,0.03899072287257117
2,0.4,100,3,7,1,mixed,0.005220126601366216,2.1960185048268213
3,0.4,100,3,7,1,explicit,0.00528406997332189,0.5064440277321738
3,0.4,100,3,7,1,implicit,0.005190939564711565,0.03276523548393421
3,0.4,100,3,7,1,mixed,0.005387341428663948,0.7616952111325541
